prompt_id,user_id,model_id,category_id,prompt_length,token_count,response_time_ms,estimated_cost,satisfaction_rating,created_at,prompt_complexity,task_completed,response_quality
49,967,2,7,757,814,1359,0.006505,4,2024-11-15 11:23:18,Medium,True,Excellent
50,317,5,5,101,133,1415,0.000397,3,2024-12-18 20:58:00,Simple,True,Good
51,785,4,9,213,235,2109,0.00124,4,2024-10-01 01:15:40,Simple,True,Good
52,960,1,5,339,391,2016,0.004299,5,2024-07-17 05:43:41,Simple,True,Excellent
53,879,3,2,389,331,931,0.002487,4,2024-01-11 02:13:04,Simple,True,Good
54,280,3,9,645,590,1328,0.003909,2,2024-01-18 23:41:21,Medium,True,Fair
55,844,5,2,210,260,3012,0.000814,4,2024-08-01 23:38:05,Simple,False,Good
56,677,1,3,841,1192,1769,0.011641,4,2024-12-29 09:55:25,Medium,False,Excellent
57,165,5,3,362,419,992,0.001205,4,2024-01-16 11:59:05,Simple,True,Good
58,29,4,5,589,615,1639,0.003316,4,2024-04-07 05:55:24,Medium,True,Good
59,256,3,8,2140,1859,2864,0.012619,4,2024-01-14 01:44:26,Medium,True,Good
60,900,4,7,218,197,1032,0.000975,3,2024-06-20 19:07:46,Simple,True,Good
61,973,5,8,970,867,812,0.002549,5,2024-01-26 08:46:16,Medium,True,Good
62,870,3,9,1123,1523,987,0.011714,4,2024-01-11 06:47:49,Medium,True,Good
63,924,3,5,161,163,2968,0.001184,4,2024-06-25 05:50:20,Simple,False,Good
64,373,2,5,581,743,3800,0.006367,2,2024-10-04 00:56:06,Medium,True,Fair
65,175,1,9,849,709,884,0.007725,3,2024-02-19 17:21:56,Medium,True,Good
66,796,1,3,379,393,1601,0.004013,4,2024-03-26 13:32:37,Simple,True,Excellent
67,801,1,6,787,761,1606,0.007085,5,2024-07-02 02:31:40,Medium,True,Excellent
68,378,2,3,718,672,4258,0.005863,4,2024-04-13 12:56:59,Medium,True,Excellent
69,53,2,5,2064,2035,807,0.015206,3,2024-11-27 03:58:57,Complex,True,Good
70,790,2,6,784,1106,1214,0.008136,4,2024-11-13 00:29:47,Medium,True,Excellent
71,690,3,6,2492,2144,1581,0.013977,2,2024-10-01 20:54:33,Complex,True,Fair
72,869,5,5,172,269,2399,0.000852,2,2024-10-11 22:31:16,Simple,False,Fair
73,808,5,1,475,752,2940,0.002175,5,2024-08-03 14:19:44,Medium,True,Good
74,512,2,7,758,740,2401,0.005557,4,2024-09-25 06:42:06,Medium,True,Excellent
75,589,5,8,336,470,2360,0.001342,5,2024-12-17 23:54:04,Simple,True,Good
76,25,1,8,301,363,812,0.003492,3,2024-12-06 14:38:46,Simple,False,Good
77,811,1,5,354,346,696,0.003537,4,2024-12-27 05:08:24,Simple,True,Excellent
78,364,2,7,817,751,1217,0.005813,2,2024-02-04 02:01:40,Medium,True,Fair
79,528,3,4,530,477,1449,0.003519,4,2024-12-22 13:51:12,Simple,False,Good
80,542,4,5,833,1115,789,0.005694,4,2024-01-14 04:56:35,Medium,True,Good
81,861,2,4,659,803,2154,0.00616,2,2024-10-15 01:53:05,Medium,True,Fair
82,554,3,7,396,439,2995,0.003062,5,2024-05-18 05:28:18,Simple,True,Good
83,525,4,5,236,295,1897,0.001361,4,2024-08-31 02:22:16,Simple,True,Good
84,190,5,1,1257,1136,874,0.003356,3,2024-07-05 20:17:44,Medium,True,Good
85,223,2,7,169,255,1099,0.001966,2,2024-03-04 23:24:25,Simple,True,Fair
86,141,3,6,492,415,1328,0.002714,2,2024-09-05 09:59:25,Simple,True,Fair
87,347,4,5,347,521,1093,0.00275,4,2024-03-03 01:33:08,Medium,True,Good
88,203,3,9,352,340,901,0.002609,4,2024-11-06 17:50:57,Simple,True,Good
89,396,3,9,284,436,1230,0.002829,5,2024-05-15 03:51:50,Simple,False,Good
90,929,5,4,1279,1136,2797,0.003206,4,2024-07-26 17:16:23,Medium,True,Good
91,356,5,7,186,202,1526,0.000646,4,2024-04-16 01:34:03,Simple,True,Good
92,966,2,9,555,590,3407,0.004807,5,2024-05-22 12:53:35,Medium,True,Excellent
93,825,2,4,1237,1425,3543,0.010768,4,2024-12-21 21:05:25,Medium,True,Excellent
94,108,5,5,240,319,743,0.000879,5,2024-10-11 05:26:11,Simple,True,Good
95,906,5,3,257,319,796,0.000899,5,2024-10-05 04:58:34,Simple,True,Good
96,662,1,6,1000,843,2468,0.007698,5,2024-02-04 17:43:51,Medium,False,Excellent
97,785,3,9,272,292,922,0.002207,3,2024-02-07 00:06:47,Simple,True,Good
98,568,1,6,248,332,2980,0.003212,4,2024-05-11 22:35:45,Simple,True,Excellent
99,733,1,3,84,139,2569,0.001292,3,2024-10-07 01:47:09,Simple,True,Good
100,274,2,7,664,987,2784,0.008684,5,2024-04-16 09:10:05,Medium,True,Excellent
101,71,5,4,658,931,2796,0.002714,1,2024-02-26 17:04:34,Medium,True,Fair
102,451,3,1,514,435,1103,0.002963,5,2024-12-07 02:46:53,Simple,False,Good
103,330,5,8,167,162,1240,0.000472,3,2024-05-29 08:42:55,Simple,True,Good
104,79,1,7,624,652,1918,0.006697,5,2024-01-12 22:13:01,Medium,True,Excellent
105,320,3,7,1101,1066,1573,0.007745,5,2024-12-07 22:00:00,Medium,True,Good
106,688,2,4,906,820,3232,0.007068,2,2024-05-11 21:48:11,Medium,True,Fair
107,104,3,3,561,626,1511,0.004593,3,2024-04-27 06:24:32,Medium,True,Good
108,702,5,2,145,215,990,0.000581,4,2024-03-31 21:33:22,Simple,False,Good
109,921,3,8,1066,1213,2020,0.008082,5,2024-02-03 21:19:56,Medium,True,Good
110,962,3,9,135,178,2014,0.001169,4,2024-10-20 20:12:52,Simple,True,Good
111,959,2,1,229,362,3012,0.002701,4,2024-01-18 21:37:07,Simple,True,Excellent
112,612,5,2,296,396,1736,0.001127,4,2024-10-30 11:57:44,Simple,False,Good
113,974,2,9,1564,1601,2900,0.012387,4,2024-05-08 07:32:45,Medium,False,Excellent
114,542,4,7,592,755,4637,0.003964,5,2024-03-01 22:50:53,Medium,True,Good
115,334,4,5,967,1422,1113,0.007602,4,2024-04-07 15:41:03,Medium,True,Good
116,254,2,4,520,570,2236,0.004707,4,2024-09-08 03:12:09,Medium,True,Excellent
117,85,1,4,966,1402,1567,0.014597,2,2024-09-10 19:52:49,Medium,True,Fair
118,621,4,1,135,206,2572,0.00104,1,2024-04-14 07:02:48,Simple,True,Fair
119,779,3,7,444,508,4422,0.003814,5,2024-06-02 00:57:03,Medium,True,Good
120,625,5,6,108,121,6419,0.000398,2,2024-07-19 06:10:03,Simple,False,Fair
121,878,4,8,313,373,525,0.001994,4,2024-08-04 02:48:27,Simple,True,Good
122,313,1,1,402,640,3256,0.00594,4,2024-05-13 20:48:07,Medium,True,Excellent
123,86,2,3,529,506,3283,0.004255,3,2024-04-07 21:39:36,Medium,True,Good
124,353,1,6,392,418,3804,0.004392,5,2024-04-16 00:03:10,Simple,True,Excellent
125,857,4,9,474,486,2310,0.002519,4,2024-09-08 00:06:04,Simple,False,Good
126,582,4,1,1354,1984,2412,0.009786,2,2024-10-11 00:17:58,Medium,True,Fair
127,705,5,5,485,448,1217,0.00146,5,2024-03-14 19:16:33,Simple,False,Good
128,327,2,6,786,836,948,0.00688,4,2024-05-22 03:52:53,Medium,False,Excellent
129,736,4,4,402,527,1354,0.002861,1,2024-10-15 20:00:35,Medium,True,Fair
130,310,2,9,158,178,2233,0.001478,3,2024-11-29 03:39:45,Simple,True,Good
131,319,4,2,1036,1261,1510,0.006386,4,2024-04-27 19:04:14,Medium,True,Good
132,761,1,5,134,213,2379,0.002008,5,2024-10-10 10:08:49,Simple,True,Excellent
133,212,4,1,95,149,1236,0.000754,3,2024-03-17 16:51:10,Simple,True,Good
134,101,2,6,416,574,1304,0.004363,4,2024-10-06 05:00:00,Medium,True,Excellent
135,333,3,4,205,193,2328,0.001446,2,2024-04-10 15:21:32,Simple,True,Fair
136,389,1,4,401,638,1605,0.005904,5,2024-03-08 08:56:34,Medium,True,Excellent
137,895,2,4,1269,1410,1453,0.010477,4,2024-07-20 02:28:30,Medium,True,Excellent
138,600,1,5,747,870,536,0.00901,1,2024-10-08 07:37:23,Medium,True,Fair
139,73,3,8,889,858,1053,0.005472,4,2024-08-23 16:27:48,Medium,True,Good
140,411,5,4,1132,1027,948,0.003127,5,2024-04-12 13:14:17,Medium,True,Good
141,108,5,8,720,1130,1701,0.003461,3,2024-08-27 04:30:41,Medium,False,Good
142,624,2,4,962,1173,4240,0.009758,5,2024-10-22 23:32:55,Medium,True,Excellent
143,822,5,3,591,795,982,0.002242,4,2024-04-02 10:44:47,Medium,True,Good
144,390,4,8,775,821,1063,0.003892,3,2024-09-10 08:44:19,Medium,True,Good
145,558,2,8,779,754,1118,0.005432,4,2024-03-20 01:42:59,Medium,True,Excellent
146,759,5,8,257,285,1081,0.000861,2,2024-03-25 16:35:11,Simple,True,Fair
147,963,2,9,537,790,1699,0.006807,3,2024-09-06 16:43:14,Medium,True,Good
148,201,4,8,592,903,1325,0.004412,2,2024-06-06 15:57:12,Medium,True,Fair
149,218,1,9,1447,1558,743,0.01419,2,2024-10-21 19:17:41,Medium,False,Fair
150,310,5,6,383,562,925,0.00165,3,2024-08-11 10:47:33,Medium,True,Good
151,328,4,9,742,722,4232,0.003545,2,2024-07-20 02:44:23,Medium,True,Fair
152,606,3,3,682,676,3219,0.004977,5,2024-07-15 02:31:45,Medium,True,Good
153,18,2,4,808,859,1972,0.006247,3,2024-10-13 05:02:18,Medium,True,Good
154,109,5,4,964,1166,1991,0.00333,3,2024-02-08 11:49:03,Medium,True,Good
155,490,4,1,366,607,1542,0.00275,4,2024-11-18 13:04:32,Medium,True,Good
156,84,2,8,664,900,803,0.006493,4,2024-05-12 11:02:07,Medium,True,Excellent
157,481,5,2,1285,1241,500,0.00358,5,2024-02-23 06:46:02,Medium,True,Good
158,961,1,8,537,558,2598,0.005893,5,2024-11-04 04:44:21,Medium,True,Excellent
159,376,1,6,278,372,2147,0.00369,3,2024-02-27 11:51:52,Simple,True,Good
160,377,2,9,295,370,1319,0.002713,3,2024-02-07 19:37:50,Simple,True,Good
161,762,2,3,1297,1338,2604,0.010447,3,2024-10-15 01:40:19,Medium,True,Good
162,659,4,5,371,390,1076,0.001775,4,2024-02-08 13:54:11,Simple,True,Good
163,462,1,1,765,949,1096,0.008716,2,2024-03-23 20:26:30,Medium,True,Fair
164,963,5,3,598,795,1886,0.002425,4,2024-03-27 18:36:53,Medium,True,Good
165,352,3,9,396,388,2729,0.002651,4,2024-04-30 04:51:36,Simple,True,Good
166,500,4,8,2255,2703,525,0.014145,5,2024-03-15 02:34:39,Complex,True,Good
167,325,3,8,290,341,1382,0.002152,5,2024-04-13 03:47:57,Simple,True,Good
168,193,3,6,444,375,3943,0.002436,4,2024-12-06 19:36:40,Simple,True,Good
169,927,3,3,383,534,2349,0.003944,5,2024-12-29 09:47:59,Medium,False,Good
170,588,1,8,940,801,3927,0.008721,4,2024-11-21 08:06:27,Medium,True,Excellent
171,821,2,1,187,250,1466,0.001977,1,2024-03-02 03:00:34,Simple,False,Fair
172,554,1,3,266,261,500,0.002707,5,2024-08-12 15:30:26,Simple,True,Excellent
173,266,5,1,140,148,1089,0.000423,5,2024-01-07 06:01:51,Simple,True,Good
174,529,4,6,355,390,4379,0.001781,5,2024-01-19 12:49:16,Simple,False,Good
175,259,4,7,809,687,1621,0.003471,5,2024-12-03 00:00:11,Medium,True,Good
176,435,4,7,209,266,870,0.001317,4,2024-11-22 19:40:32,Simple,True,Good
177,297,3,1,999,876,4997,0.006613,4,2024-03-21 05:38:46,Medium,False,Good
178,523,2,5,355,303,1787,0.002459,4,2024-09-15 11:42:13,Simple,True,Excellent
179,482,1,9,674,630,1205,0.005945,2,2024-09-14 21:53:22,Medium,True,Fair
180,876,4,5,2122,1781,6184,0.009621,5,2024-05-07 13:50:00,Medium,True,Good
181,41,4,2,1561,1550,4813,0.007648,5,2024-07-17 22:01:27,Medium,True,Good
182,34,3,8,976,1005,715,0.007737,3,2024-09-26 05:46:30,Medium,False,Good
183,969,2,6,411,449,1579,0.003789,1,2024-01-04 15:20:52,Simple,True,Fair
184,432,1,8,745,623,3831,0.005985,5,2024-07-03 07:34:41,Medium,True,Excellent
185,790,2,8,478,424,8642,0.003574,4,2024-06-18 10:26:44,Simple,True,Excellent
186,206,5,6,441,582,2372,0.001739,3,2024-09-30 23:46:19,Medium,False,Good
187,286,4,2,2505,2215,3131,0.010628,3,2024-10-21 13:27:10,Complex,True,Good
188,574,2,4,264,374,1623,0.002706,5,2024-12-20 17:52:39,Simple,True,Excellent
189,452,2,6,651,614,500,0.004583,5,2024-01-06 09:10:44,Medium,True,Excellent
190,757,5,1,472,574,1377,0.001561,1,2024-06-18 03:30:43,Medium,True,Fair
191,911,5,2,401,536,2242,0.00161,4,2024-10-04 07:53:52,Medium,False,Good
192,715,2,7,1409,1978,4923,0.01428,1,2024-06-02 16:33:23,Medium,True,Fair
193,356,2,9,560,889,1120,0.006751,5,2024-03-16 10:48:10,Medium,True,Excellent
194,364,3,3,404,416,3033,0.0029,5,2024-10-03 01:03:23,Simple,True,Good
195,793,1,9,345,395,1437,0.004222,4,2024-12-13 21:55:04,Simple,True,Excellent
196,231,3,8,221,205,3506,0.001452,4,2024-06-16 07:07:48,Simple,False,Good
197,486,4,9,691,705,3367,0.003572,4,2024-09-27 16:43:45,Medium,True,Good
198,606,2,5,649,1075,2469,0.008111,4,2024-10-16 09:26:29,Medium,False,Excellent
199,293,2,8,899,890,3394,0.0078,4,2024-05-24 06:52:21,Medium,True,Excellent
200,725,2,2,133,202,1089,0.001675,2,2024-08-23 11:39:25,Simple,True,Fair
201,747,3,1,555,748,10711,0.005391,4,2024-09-17 18:53:45,Medium,True,Good
202,990,3,3,330,480,2108,0.003413,4,2024-02-03 02:41:12,Simple,True,Good
203,223,2,3,347,332,2319,0.002585,5,2024-03-15 23:51:49,Simple,True,Excellent
204,598,3,2,424,594,1728,0.004316,2,2024-12-14 04:50:43,Medium,False,Fair
205,397,2,4,1188,1377,3854,0.010008,3,2024-06-17 12:27:14,Medium,True,Good
206,978,2,6,751,677,574,0.005035,3,2024-12-10 21:35:46,Medium,True,Good
207,3,2,9,1529,1749,3536,0.014736,3,2024-10-21 07:51:34,Medium,False,Good
208,858,5,7,446,465,2345,0.001262,5,2024-12-07 12:54:41,Simple,True,Good
209,587,1,7,1708,1581,853,0.016414,3,2024-01-07 07:26:33,Medium,True,Good
210,369,4,2,374,326,500,0.001644,2,2024-06-06 13:47:03,Simple,True,Fair
211,459,2,8,666,675,910,0.005662,2,2024-10-12 19:35:52,Medium,True,Fair
212,922,5,5,115,175,852,0.000507,2,2024-04-27 16:25:20,Simple,True,Fair
213,143,5,8,900,1022,4832,0.003193,2,2024-07-10 03:04:41,Medium,True,Fair
214,395,5,1,432,607,3261,0.001952,5,2024-04-27 21:58:43,Medium,True,Good
215,414,2,6,944,963,1130,0.007269,2,2024-12-27 04:08:33,Medium,False,Fair
216,439,1,3,2124,1786,2420,0.017579,4,2024-04-28 00:18:44,Medium,True,Excellent
217,677,4,8,2051,1914,1723,0.010286,3,2024-12-02 04:08:18,Medium,False,Good
218,362,4,2,1149,1144,745,0.005164,3,2024-05-16 02:19:42,Medium,True,Good
219,769,2,3,649,696,1656,0.005408,4,2024-07-21 06:21:47,Medium,True,Excellent
220,77,3,3,1088,1338,4837,0.009433,2,2024-07-23 18:32:00,Medium,True,Fair
221,769,3,8,1210,1946,2386,0.014401,4,2024-08-03 17:08:02,Medium,False,Good
222,563,3,2,557,897,1427,0.00651,4,2024-11-12 02:50:13,Medium,True,Good
223,474,3,6,721,630,1663,0.004784,2,2024-06-28 17:55:04,Medium,True,Fair
224,757,2,7,324,440,2513,0.003358,2,2024-04-06 16:03:48,Simple,True,Fair
225,557,2,5,641,541,4796,0.004573,3,2024-03-14 07:09:44,Medium,False,Good
226,639,4,9,581,490,1867,0.002433,4,2024-12-28 16:23:19,Simple,False,Good
227,930,4,8,852,713,5454,0.003227,4,2024-03-16 01:18:34,Medium,True,Good
228,261,5,7,482,558,1621,0.001755,4,2024-11-27 21:16:15,Medium,False,Good
229,791,3,9,143,185,1782,0.001363,4,2024-02-26 09:34:46,Simple,False,Good
230,705,4,1,765,971,1705,0.004517,3,2024-02-01 08:34:44,Medium,True,Good
231,12,2,8,804,750,2101,0.005705,5,2024-09-24 08:36:15,Medium,True,Excellent
232,28,4,9,274,285,1649,0.001314,2,2024-10-09 22:14:52,Simple,True,Fair
233,869,4,9,1398,1532,1624,0.008386,5,2024-06-22 12:49:44,Medium,False,Good
234,534,2,5,601,594,749,0.005202,3,2024-09-26 10:07:23,Medium,True,Good
235,307,4,8,100,124,3827,0.000582,4,2024-10-01 12:45:08,Simple,True,Good
236,299,4,9,221,313,1381,0.001514,4,2024-02-16 18:28:27,Simple,True,Good
237,66,5,3,898,1232,3322,0.004001,3,2024-07-27 00:06:49,Medium,True,Good
238,590,2,1,2354,2277,2667,0.019231,3,2024-12-16 08:53:01,Complex,True,Good
239,236,4,8,975,874,2940,0.004099,3,2024-05-17 01:26:43,Medium,True,Good
240,70,5,3,926,1000,828,0.003048,5,2024-05-05 08:58:59,Medium,True,Good
241,692,3,5,118,114,1768,0.000828,4,2024-09-07 22:12:49,Simple,True,Good
242,428,5,3,1124,969,1291,0.003019,2,2024-04-26 02:14:03,Medium,True,Fair
243,881,4,7,506,604,1725,0.0033,5,2024-09-26 12:27:34,Medium,False,Good
244,288,4,6,131,189,3034,0.001023,4,2024-06-09 00:26:31,Simple,False,Good
245,411,4,3,1040,1318,1674,0.007008,3,2024-08-05 16:46:39,Medium,True,Good
246,327,1,5,1446,1712,965,0.018711,4,2024-12-04 17:10:53,Medium,True,Excellent
247,795,3,5,980,1393,3076,0.009948,4,2024-01-09 01:08:17,Medium,True,Good
248,984,5,2,1812,2091,1192,0.005808,4,2024-08-29 06:43:22,Complex,False,Good
249,32,1,3,497,447,1849,0.00455,3,2024-04-10 21:54:48,Simple,True,Good
250,518,1,2,1286,1102,3036,0.010866,4,2024-04-08 07:58:12,Medium,True,Excellent
251,710,4,7,617,901,1376,0.004384,4,2024-07-04 16:25:39,Medium,True,Good
252,885,3,8,385,465,786,0.003062,5,2024-11-26 07:07:12,Simple,True,Good
253,378,1,7,579,641,3287,0.00616,4,2024-04-03 16:46:13,Medium,True,Excellent
254,1000,2,6,133,194,2759,0.001591,5,2024-01-21 16:00:48,Simple,False,Excellent
255,760,3,2,1082,1329,3512,0.01014,5,2024-12-26 16:56:17,Medium,False,Good
256,269,1,2,456,519,728,0.005631,4,2024-01-03 23:05:09,Medium,True,Excellent
257,5,5,3,726,608,1110,0.001801,4,2024-01-01 06:21:17,Medium,True,Good
258,403,1,4,548,580,3996,0.006328,4,2024-09-08 20:08:36,Medium,True,Excellent
259,59,4,6,707,825,1313,0.003719,5,2024-03-24 22:56:14,Medium,True,Good
260,392,5,1,992,889,1717,0.002743,4,2024-05-18 19:38:43,Medium,True,Good
261,635,2,4,622,527,2168,0.004444,3,2024-07-04 23:39:30,Medium,True,Good
262,210,5,8,816,893,1309,0.002819,3,2024-11-14 10:48:28,Medium,False,Good
263,707,1,9,827,804,875,0.008103,2,2024-03-17 11:28:48,Medium,True,Fair
264,117,5,3,222,223,3857,0.00067,4,2024-12-19 04:00:52,Simple,False,Good
265,299,3,8,316,400,1235,0.002684,4,2024-08-12 12:06:37,Simple,True,Good
266,944,5,1,236,287,4159,0.000775,4,2024-07-30 08:47:06,Simple,False,Good
267,353,2,1,1384,1313,1142,0.010214,4,2024-02-05 05:00:13,Medium,True,Excellent
268,166,3,2,204,230,3636,0.001514,5,2024-05-05 19:41:22,Simple,True,Good
269,662,5,4,576,641,1384,0.002102,3,2024-10-07 10:14:00,Medium,False,Good
270,919,1,2,284,340,896,0.003679,5,2024-11-06 02:08:54,Simple,True,Excellent
271,225,1,3,922,907,1889,0.008515,2,2024-09-13 11:28:04,Medium,False,Fair
272,799,2,8,106,168,941,0.00135,4,2024-12-23 23:07:42,Simple,True,Excellent
273,244,4,1,504,460,929,0.00252,4,2024-01-16 18:35:21,Simple,True,Good
274,15,5,5,605,578,563,0.001729,5,2024-01-05 08:43:58,Medium,True,Good
275,170,2,2,346,305,2444,0.00258,4,2024-09-21 01:59:31,Simple,False,Excellent
276,369,5,3,628,689,1158,0.002119,4,2024-11-18 17:12:56,Medium,True,Good
277,212,4,3,462,472,1478,0.002271,2,2024-01-07 19:19:15,Simple,False,Fair
278,612,1,4,599,614,2162,0.006654,5,2024-11-17 11:50:37,Medium,True,Excellent
279,897,3,2,923,907,1477,0.005874,5,2024-04-07 19:40:56,Medium,True,Good
280,877,4,8,1582,1388,4148,0.006543,4,2024-04-19 20:45:29,Medium,True,Good
281,429,1,5,628,850,974,0.007654,2,2024-04-20 06:08:29,Medium,True,Fair
282,11,2,6,169,152,1533,0.001203,4,2024-11-29 06:26:13,Simple,True,Excellent
283,35,1,6,1138,1150,2737,0.012379,5,2024-09-30 12:48:00,Medium,True,Excellent
284,435,3,4,346,465,2000,0.003309,4,2024-01-23 07:34:27,Simple,False,Good
285,750,1,6,1853,2518,705,0.024823,4,2024-03-07 23:18:29,Complex,False,Excellent
286,777,5,2,824,1111,3308,0.003464,5,2024-06-11 12:52:40,Medium,True,Good
287,219,5,7,383,321,1737,0.000906,5,2024-03-19 05:21:12,Simple,True,Good
288,937,1,5,607,904,1369,0.009697,2,2024-01-21 03:23:05,Medium,False,Fair
289,138,4,3,971,1098,1281,0.005237,5,2024-03-12 04:22:47,Medium,True,Good
290,742,4,1,622,889,1782,0.004148,4,2024-11-12 21:43:02,Medium,True,Good
291,3,4,1,740,1134,2891,0.005678,4,2024-11-13 22:03:39,Medium,True,Good
292,448,3,5,423,662,4054,0.004889,4,2024-07-25 05:50:53,Medium,False,Good
293,63,4,3,313,428,1711,0.002229,1,2024-08-24 17:38:04,Simple,True,Fair
294,156,2,8,1253,1641,1544,0.014122,5,2024-01-18 05:56:44,Medium,True,Excellent
295,818,4,5,1712,1564,5638,0.008515,4,2024-08-31 11:12:59,Medium,True,Good
296,723,2,8,557,535,634,0.004617,4,2024-01-11 11:47:53,Medium,True,Excellent
297,546,3,7,252,404,505,0.002972,4,2024-08-19 12:40:40,Simple,False,Good
298,300,5,7,678,636,1326,0.001775,4,2024-07-27 20:54:08,Medium,True,Good
299,512,2,9,239,310,2420,0.002433,2,2024-01-29 18:40:17,Simple,True,Fair
300,821,5,1,582,697,954,0.00202,4,2024-02-19 15:45:09,Medium,True,Good
301,10,2,3,548,565,1701,0.004082,5,2024-04-24 17:54:39,Medium,False,Excellent
302,159,3,2,980,1469,2070,0.010686,5,2024-06-21 13:59:21,Medium,False,Good
303,824,4,3,334,324,1315,0.001597,5,2024-07-10 23:53:42,Simple,False,Good
304,217,4,5,1363,1769,1246,0.008876,3,2024-07-11 02:15:25,Medium,True,Good
305,151,1,6,486,486,2015,0.004492,3,2024-10-05 13:40:31,Simple,True,Good
306,268,2,9,181,194,1529,0.001692,3,2024-09-20 10:54:21,Simple,False,Good
307,678,5,2,181,192,1264,0.000529,5,2024-10-29 06:15:50,Simple,True,Good
308,245,2,2,1881,1616,1504,0.012798,4,2024-06-04 00:28:40,Medium,True,Excellent
